Name,Z_bin,Rate,-Stat,+Stat,-System,+System,Notes
li_2011a,0,180758,-20408.2,20408.2,-43731.8,49562.7,
cappellaro_1999,0.01,125364,-49562.7,49562.7,0,0,
frohmaier_2021,0.028,265306,-37026,45481,0,0,
taylor_2014,0.03-0.09,309038,-32070,32070,-43731.8,43731.8,
cappellaro_2015,0.05-0.15,329446,-154519,180758,-142857,142857,
graur_2015,0.075,303207,-75801.7,96209.9,-32070,11661.8,
dahlen_2012,0.1-0.5,874636,-274052,373178,-166181,303207,
strolger_2015,0.1-0.5,620991,-157434,233236,0,0,
melinder_2012,0.1-0.5,959184,-518950,897959,-422741,577259,
cappellaro_2015,0.15-0.35,352770,-78717.2,78717.2,-137026,137026,
botticella_2008,0.21,334694,-99125.4,125364,-104956,122449,
cappellaro_2005,0.26,641399,-204082,233236,0,0,
bazin_2009,0.3,413994,-87463.6,87463.6,-69970.8,-93294.5,
petrushevka_2016,0.4-0.9,816327,-583090,1.31195e+06,0,0,
strolger_2015,0.5-0.9,1.07289e+06,-209913,279883,0,0,
dahlen_2012,0.5-0.9,2.15452e+06,-443149,542274,-466472,932945,
melinder_2012,0.5-0.9,1.86589e+06,-909621,1.54519e+06,-615160,1.06414e+06,
graur_2011,0.5-1.0,2.01166e+06,-1.57434e+06,2.8863e+06,0,0,
strolger_2015,0.9-1.3,895044,-192420,309038,0,0,
dahlen_2012,0.9-1.3,2.79009e+06,-816327,1.09621e+06,-816327,1.44606e+06,
petrushevka_2016,0.9-1.4,3.00292e+06,-1.77843e+06,3.35277e+06,0,0,
strolger_2015,1.3-1.7,947522,-384840,591837,0,0,
petrushevka_2016,1.4-1.0,3.14869e+06,-2.59475e+06,7.1137e+06,0,0,
strolger_2015,1.7-2.1,921283,-516035,982507,0,0,
strolger_2015,2.1-2.5,1.79883e+06,-1.02624e+06,1.97085e+06,0,0,
