Name,Z_bin,Rate,-Stat,+Stat,-System,+System,Notes
perley_2016,0.50-1.00,25103.7,-4986.36,6705.79,0,0,
perley_2016,0.10-0.50,4470.53,-1719.43,3610.81,0,0,
perley_2016,6-8,19257.7,-8769.11,31121.8,0,0,
perley_2016,8-10,0,0,28370.7,0,0,
perley_2016,2-2.65,118985,-18226,21664.9,0,0,
perley_2016,4.5-6,57773,-17710.2,31809.5,0,0,
perley_2016,1.5-2,65510.4,-12208,15646.8,0,0,
perley_2016,1-1.5,39203.1,-7565.51,9972.72,0,0,
perley_2016,3.5-4.5,76342.9,-19429.6,29746.2,0,0,
perley_2016,2.65-3.50,131881,-22008.8,27167.1,0,0,
