Name,Z_bin,Rate,-Stat,+Stat,-System,+System,Notes
li_2011a,0,77375,-9511,9768,-12596,12596,
cappellaro_1999,0.01,81632.7,-26239.1,26239.1,0,0,From strolger_2020
mannucci_2005,0.03,81632.7,-32070,32070,0,0,From strolger_2020
dilday_2010,0.025-0.050,81049.6,-24198.3,32653.1,0,4373.18,
frohmaier_2019,0.073,70553.9,-8454.81,8454.81,-5539.36,9620.99,From strolger_2020
cappellaro_2015,0.05-0.15,160350,-84548.1,145773,-58309,58309,
dilday_2010,0.075-0.125,75510.2,-12828,15160.3,-291.545,8163.27,
strolger_2003,0.11,107872,-29154.5,29154.5,0,0,From strolger_2020
graur_2013,0.11,72011,-17580,8455,-9038,4665,
blanc_2004,0.13,58309,-20408.2,20408.2,-14577.3,14577.3,From strolger_2020
rodney_2010,0.15,93294.5,-67055.4,67055.4,-17492.7,67055.4,From strolger_2020
dilday_2010,0.125-0.175,89504.4,-9912.54,11078.7,-1457.73,10204.1,
perrett_2012,0.16,40816.3,-26239.1,26239.1,-34985.4,17492.7,From strolger_2020
dilday_2010,0.175-0.225,101458,-8746.36,9329.45,-2040.82,23906.7,
horesh_2008,0.2,58309,-23323.6,23323.6,0,0,From strolger_2020
rodney_2014,0.25,104956,-75801.7,174927,-102041,34985.4,From strolger_2020
cappellaro_2015,0.15-0.35,113703,-34985.4,37900.9,-29154.5,29154.5,
dilday_2010,0.225-0.275,106414,-8163.27,9037.9,-3498.54,53061.2,
perrett_2012,0.26,81632.7,-20408.2,20408.2,-20408.2,17492.7,From strolger_2020
botticella_2008,0.3,99125.4,-43731.8,46647.2,0,0,From strolger_2020
dilday_2010,0.275-0.325,126531,-9912.54,10787.2,-4664.72,115452,
rodney_2010,0.35,99125.4,-55393.6,55393.6,-8746.36,55393.6,From strolger_2020
perrett_2012,0.35,104956,-17492.7,17492.7,-17492.7,14577.3,From strolger_2020
graur_2014,0.42,134111,-93294.5,122449,-37900.9,29154.5,From strolger_2020
okumura_2014,0.44,76384.8,-38775.5,66763.8,-34985.4,17201.2,From strolger_2020
rodney_2010,0.45,90379,-43731.8,43731.8,-11661.8,43731.8,From strolger_2020
perrett_2012,0.45,104956,-17492.7,17492.7,-14577.3,11661.8,From strolger_2020
cappellaro_2015,0.35-0.55,151603,-37900.9,32070,-46647.2,46647.2,
tonry_2003,0.46,139942,-49562.7,49562.7,0,0,From strolger_2020
neill_2006,0.47,122449,-17492.7,17492.7,-26239.1,37900.9,From strolger_2020
dahlen_2008,0.47,233236,-78717.2,107872,-75801.7,483965,From strolger_2020
rodney_2010,0.55,93294.5,-40816.3,40816.3,-20408.2,40816.3,From strolger_2020
perrett_2012,0.55,139942,-17492.7,17492.7,-14577.3,11661.8,From strolger_2020
pain_2002,0.55,151603,-26239.1,29154.5,0,0,From strolger_2020
melinder_2012,0.62,376093,-166181,256560,-81632.7,78717.2,
perrett_2012,0.65,139942,-14577.3,14577.3,-17492.7,11661.8,From strolger_2020
cappellaro_2015,0.55-0.75,201166,-52478.1,55393.6,-78717.2,78717.2,From strolger_2020
rodney_2010,0.65,142857,-49562.7,49562.7,-23323.6,49562.7,From strolger_2020
graur_2011,0.74,230321,-119534,96209.9,0,0,From strolger_2020
rodney_2014,0.75,148688,-55393.6,78717.2,-55393.6,67055.4,From strolger_2020
rodney_2010,0.75,198251,-61224.5,61224.5,-40816.3,61224.5,From strolger_2020
perrett_2012,0.75,169096,-17492.7,17492.7,-20408.2,14577.3,From strolger_2020
okumura_2014,0.8,244898,-53935.9,67055.4,-34985.4,17492.7,From strolger_2020
dahlen_2008,0.83,379009,-78717.2,96209.9,-148688,212828,From strolger_2020
rodney_2010,0.85,227405,-64139.9,64139.9,-46647.2,64139.9,From strolger_2020
perrett_2012,0.85,166181,-14577.3,14577.3,-20408.2,17492.7,From strolger_2020
graur_2014,0.94,131195,-55393.6,64139.9,-17492.7,37900.9,From strolger_2020
rodney_2010,0.95,221574,-72886.3,72886.3,-75801.7,72886.3,From strolger_2020
perrett_2012,0.95,224490,-23323.6,23323.6,-34985.4,29154.5,From strolger_2020
rodney_2010,1.05,230321,-81632.7,81632.7,-119534,81632.7,From strolger_2020
perrett_2012,1.1,215743,-34985.4,34985.4,-37900.9,29154.5,From strolger_2020
okumura_2014,1.14,205539,-53352.8,69679.3,-30029.2,29737.6,From strolger_2020
dahlen_2008,1.21,384840,-84548.1,104956,-93294.5,110787,From strolger_2020
graur_2011,1.23,244898,-81632.7,72886.3,0,0,From strolger_2020
rodney_2014,1.25,186589,-64139.9,90379,-67055.4,99125.4,From strolger_2020
graur_2014,1.59,131195,-64139.9,99125.4,-26239.1,14577.3,From strolger_2020
dahlen_2008,1.61,122449,-67055.4,113703,-40816.3,55393.6,From strolger_2020
graur_2011,1.69,297376,-107872,157434,0,0,From strolger_2020
rodney_2014,1.75,209913,-87463.6,131195,-81632.7,145773,From strolger_2020
rodney_2014,2.25,142857,-110787,276968,-69970.8,131195,From strolger_2020
